courseNumber,description
ARC072,for college use only
ARC073,for college use only
ARC078,for college use only
ARC080,for college use only
ANTH002,"5 units, lecture, 3 hours; discussion, 1 hour; individual study, 3 hours. a survey of past and contemporary human variation and evolution considered from the perspective of the fossil record, inferences from nonhuman primate biology and social behavior, and the forces of evolution."
ANTH005,"5 units, lecture, 3 hours; discussion, 1 hour; individual study, 3 hours. a general introduction to the aims and methods of archaeology, in the field and in the laboratory. briefly surveys world prehistory as revealed by these methods."
ANTH006,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): none. a survey of people, identity, and music making. includes listening to music from many cultural contexts. also covers a variety of scholarly topics in world music.     cross-listed with mus 006."
ANTH100,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s): anth 001 or anth 001h or anth 001w;  or consent of instructor. a survey of the history of theory in anthropology and the development of the discipline. focuses on useful ideas from these theories and methods anthropologists have developed to study other societies.     credit is awarded for one of the following  anth 100 or anth 100w."
ANTH195A,"4 units, optional for anthropology majors; open to senior students having a ""b"" average in their major, with consent of instructor. graded in progress (ip) until anth 195a, anth 195b, and anth 195c are completed, at which time a final grade is assigned."
ANTH290,"1 to 6 units, independent study by graduate students under supervision of a particular faculty member. graded satisfactory (s) or no credit (nc). course is repeatable."
ARBC003,"4 units, lecture, 4 hours. prerequisite(s): arbc 002 with a grade of ""c-"" or better or equivalent or a sufficiently high test score on the arabic placement examination as determined by the department faculty. an introduction to modern standard arabic. focuses on the development of the four language skills: listening, speaking, reading, and writing. also explores aspects of arabic cultures. classes conducted primarily in arabic."
ARBC004,"4 units, lecture, 4 hours.  prerequisite(s): arbc 003 with a grade of ""c-"" or better or equivalent or a sufficiently high test score on the arabic placement examination as determined by the department faculty. an introduction to intermediate modern standard arabic. builds upon current knowledge levels of grammar and vocabulary to gain greater fluency and accuracy in listening, speaking, reading, and writing. classes conducted in arabic."
ART006,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): none. examines basic principles and methodologies of theory as applied to the interpretation and creation of works of art. includes screenings.     cross-listed with mcs 006."
ART066,"4 units, lecture, 3 hours; laboratory, 3 hours; individual study, 2 hours. prerequisite(s): none. covers basic skills necessary to create three-dimensional digital images and models. emphasizes techniques for polygon and curved-surface modeling and photorealistic image creation through material shading, texturing, and lighting. introduces basic scripting methods to create complex models and images with autodesk maya or equivalent."
ART110,"4 units, lecture, 2, hours; studio, 4 hours. prerequisite(s): art 001 and art 002 or equivalent and consent of instructor. subject: primarily still-life, landscape and figure. purpose: a fuller understanding of the technical aspects of painting.  method: studio exercises, in-studio lectures and outside assignments. course may be repeated for credit to a total of 12 units."
ART140,"4 units, lecture, 3 hours; studio, 4 hours. prerequisite(s): art 003 or art 071k;  or consent of instructor. introduction to analog film processing and black and white printing.  focuses on developing individual creative approaches in analog photography. some analog film cameras available for rental, or students may provide their own cameras.   course is repeatable to a maximum of 12 units."
ART190,"1 to 5 units, prerequisite(s): to be taken with the consent of the chair of the department as a means of meeting special curricular problems. total credit may not exceed 8 units."
ART302,"1 to 4 units, practicum, 2 to 8 hours; consultation, 1 to 4 hours. prerequisite(s): graduate standing. provides supervision of teaching in undergraduate art courses. graded satisfactory (s) or no credit (nc). course is repeatable."
AHS010S,"5 units, lecture, 3 hours; discussion, 1 hour; individual study, 3 hours. prerequisite(s): none. explores significant themes and topics from the history of art and architecture around the world. concentrates on particular subtopics to be announced in the schedule of classes. course is repeatable as topics change to a maximum of 24 units. credit is awarded for only one of ahs 010 or ahs 010s as topics change."
AHS017A,"4 units, lecture, 3 hours; discussion, 1 hour; extra reading, 2 hours. prerequisite(s): none. a survey of the visual arts of the ancient near east and egypt, the greek world, and the roman and byzantine empires. topics include the growth of urbanism, art as an expression of religious and political beliefs, and cultural contact as a source of artistic change. credit is awarded for only one of ahs 017a or ahs 17ha."
AHS115,"4 units,  lecture, 3 hours; extra reading, 3 hours. prerequisite(s): sophomore, junior, or senior standing; or consent of instructor. a study of latin american art from circa 1900 to the present. considers national and regional histories and artistic trajectories beginning with the advent of an artistic avant-garde. investigates the relationships between european and latin american developments. cross-listed with lnst 115."
AHS171,"4 units, lecture, 3 hours; individual study, 3 hours. prerequisite(s): sophomore, junior, or senior standing; or consent of instructor. a study of the dominant trends and figures of italian, french, spanish, flemish, and dutch baroque art. includes the works of caravaggio, bernini, velazquez, and rembrandt. emphasizes the development of illusionistic ceiling decoration, the theoretical basis of baroque art, and the sacred and political uses of art."
AHS189E,"4 units, lecture, 3 hours, individual study, 3 hours. prerequisite(s): sophomore or junior or senior standing; or consent of instructor. addresses selected issues, movements, and artists of importance to international art history since the 1960s. e. art since conceptual art. each segment is repeatable as its topics change to a maximum of 12 units."
AHS192,"4 units, seminar, 3 hours; individual study, 3 hours. prerequisite(s): upper-division standing in art history or art history administrative studies. critical study of selected topics in the history of art and its methods. topics vary. course is repeatable to a maximum of 12 units."
AST048,"4 units, lecture, 3 hours; screening, 3 hours. prerequisite(s): none. a study of selected films from china and taiwan focusing on cultural context. includes what to look for in these films; the interrelations with theater, photography, and literature; and how these films are understood as an art form.     cross-listed with chn 048, cplt 048, and mcs 048."
AST090,"1 to 5 units, individual study, 3 to 15 hours. to be taken with the consent of the chair of the program as a means of meeting special curricular problems. course is repeatable."
AST190,"1 to 5 units, individual study, 3 to 15 hours. prerequisite(s): upper-division standing or consent of instructor. to be taken with the consent of the chair of the program as a means of meeting special curricular problems. course is repeatable."
AST195,"1 to 4 units, thesis, 3 to 12 hours. prerequisite(s): senior standing. thesis composition under the guidance of asian studies faculty.  required for all asian studies majors. course is repeatable to a maximum of 8 units."
BSWT002,"2 units, lecture, 1.5 hours; extra reading, 1.5 hours. prerequisite(s): an appropriate score on the university of california analytical writing placement examination; concurrent enrollment in bswt 001. training in oral communication for the sake of improving academic speech, comprehension, and writing in english.  includes reports, talks, academic discussions, and dialogues.  for second-language students in need of immersive training. graded satisfactory (s) or no credit (nc)."
BSWT003L,"1 unit, laboratory, 3 hours. prerequisite(s): concurrent enrollment in bswt 003 and bswt 004. focuses on mastery of principles and applications of english grammar and idiomatic expression, as well as critical reading, which are pertinent to second-language students. graded satisfactory (s) or no credit (nc). course is repeatable as content changes to a maximum of 3 units."
BSWT004,"1 unit, activity, 3 hours. prerequisite(s): concurrent enrollment in bswt 003 and bswt 003l.  instruction in and performance of oral discourse: summaries, analyses, and original arguments. graded satisfactory (s) or no credit (nc). course is repeatable as content changes to a maximum of 3 units."
BCH015,"3 units, lecture, 1 hour; discussion, 1 hour; laboratory, 3 hours. prerequisite(s): chem 008a and chem 08la or chem 08ha and chem 08hla with grade of ""c-"" or better (chem 008a and chem 08la or chem 08ha and chem 08hla may be taken concurrently); or consent of instructor. introduces basic biochemistry wet laboratory techniques for biological samples. includes micropipetting, volumetric relationships, dilutions, ph measurement, buffer preparation, spectrophotometry, gel permeation chromatography, and ion-exchange chromatography. explores the use of molecular graphics for investigation of macromolecular structure-function relationships."
BCH097,"1 unit, laboratory, 3 hours. prerequisite(s): lower-division standing, minimum grade point average of 3.5, approval of undergraduate advisor and consent of instructor. laboratory tutorial in biochemistry. to provide biochemistry laboratory experience for exceptional lower-division students. a written report is required at the end of each quarter. graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 3 units."
BCH110A,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): biol 005a with a grade of ""c-"" or better; chem 008c and chem 08lc or chem 08hc and chem 08hlc with grades of ""c-"" or better. considers the structure and function of biological molecules including proteins, carbohydrates, lipids, and nucleic acids. credit is awarded for only one of bch 110a or bch 110ha."
BCH110HA,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): biol 005a with a grade of c- or better; chem 008c with a grade of c- or better, chem 08lc with a grade of c- or better or chem 08hc with a grade of c- or better, chem 08hlc with a grade of c- or better;  admission to university honors. honors course corresponding to bch 110a.  considers the structure and function of biological molecules including proteins, carbohydrates, lipids, and nucleic acids.  satisfactory(s) or no credit(n/c) is not available.   credit is awarded for one of the following  bch 110ha or bch 110a."
BCH190,"2 to 4 units, individual study, 6 to 16 hours. prerequisite(s): upper-division standing and consent of instructor. literature review and tutorial in select modern biochemical topics. course is repeatable."
BCH210,"4 units, lecture, 4 hours. prerequisite(s): bch 110a, bch 110b, bch 110c or equivalents; bch 184 (may be taken concurrently); chem 109; graduate standing or consent of instructor. discussion of recent advances in the knowledge of the molecular architecture of proteins and nucleic acids, especially with respect to new experimental approaches for analyzing their structure and function. chemistry of the active site of enzymes."
BCH240,"2 units, lecture, 2 hours. prerequisite(s):  restricted to major(s) biochemistry;  graduate standing;  or consent of instructor. provides oral presentations and intensive small-group discussion of selected topics in the area of specialization of each faculty member.  emphasizes recent advances in the special topic area and varies accordingly.  graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 56 units."
BCH302,"1 to 4 units, variable hours. prerequisite(s): graduate standing; limited to departmental teaching assistants. supervised teaching in lower- and upper-division biochemistry courses. required for all biochemistry teaching assistants. fulfills portion of the teaching requirements for ph.d. graded satisfactory (s) or no credit (nc). may be repeated for credit."
