courseNumber,description
BUAS101,"4 units, lecture, 3 hours; written work, 3 hours. prerequisite(s): bus 106 or econ 134 or bus 133. introduces the insurance industry and the pricing of actuarial risks. topics include asymmetric information, adverse selection, and moral hazard as they apply to life insurance and property and casualty policies, state regulations, and models for regulatory capital and reinsurance."
ANTH001,"4 units, lecture, 3 hours; discussion, 1 hour. explores the basic contributions of anthropology to the understanding of human behavior and culture and the explanation of similarities and differences among human societies. addresses the relevance of materials drawn from tribal and peasant culture to problems of the modern world. stresses the application of anthropological methods to research problems.     credit is awarded for one of the following  anth 001,  anth 001h, or anth 001w."
ANTH020S,"4 units, lecture, 3 hours; discussion, 1 hour. surveys health, disease, curing, and nutrition in a cross-cultural perspective. covers how different cultural groups consider disease, health maintenance, and healing; how traditional beliefs about health and nutrition arise; and what one can and cannot learn from traditional health-seeking practices.     credit is awarded for one of the following  anth 020s or anth 020."
ANTH104,"4 units, lecture, 2 hours; practicum, 3 hours; research, 3 hours. prerequisite(s): anth 002 with a grade of ""c-"" or better. introduces the study of bioarchaeology in order to explore human skeletal remains from archaeological settings. topics include the history and ethics of studying human remains, mortuary archaeology, methodological shifts in skeletal research, and interpretation of human skeletons using various methods."
ANTH115R,"4 units, lecture, 3 hours; research, 3 hours. prerequisite(s): anth 003 or anth 005 or consent of instructor. an introduction to mayan archaeology intended to provide an overview of ancient maya cultural history from the formative period to the time of spanish contact. during the course, particular maya sites will be described in detail."
ANTH127S,"4 units, lecture, 3 hours; discussion, 1 hour; extra reading, 3 hours. prerequisite(s): anth 001 or anth 001h or anth 001w or consent of instructor. examines different overt and covert means by which power and social differentiation are produced, perpetuated, and challenged in societies across the world. studies the politics of culture, ethnicity, nationalism, and gender. credit is awarded for only one of anth 127 or anth 127s."
ANTH132,"4 units, lecture, 3 hours; research, 3 hours. prerequisite(s): anth 001 or anth 001h or anth 001w or consent of instructor. introduces people's relationships to their total environment. explores strategies for managing the environment and its resources, the effects of the environment on culture and society, the impact of human management on the ecosystem, and ways in which human groups view their surroundings."
ANTH140G,"4 units, lecture, 3 hours; research, 3 hours. prerequisite(s):  restricted to class level standing of junior, or  senior. examines a number of african cultures using anthropological perspectives on subsistence patterns, social organization, and religious systems. addresses the treatment of these cultures following a brief overview of the geography, history, and linguistic patterns of africa."
ANTH144F,"4 units, lecture, 3 hours; written work, 1 hour; extra reading, 1 hour; individual study, 1 hour. prerequisite(s):  restricted to class level standing of junior, or  senior;  or consent of instructor. explores the relationship between western medicine and women, racial minorities, and non-western citizens. investigates how gender ideology, racial inequity, and colonialism shape the medical representation of bodies, sexuality, and pathology. examines how patients have renegotiated their relationships with medicine through health movements and alternative healing practices.     cross-listed with gsst 185."
ANTH155,"6 units, lecture, 2 hours; discussion, 1 hour; laboratory, 6 hours, research, 3 hours. prerequisite(s): anth 002, upper-division standing; or consent of instructor. an in-depth study of the human skeleton, including bone biology, functional morphology, fragment identification, reconstruction, forensic methods, and curation techniques. useful for anthropologists and those intending careers in medicine, physical therapy, and forensics."
ANTH165E,"4 units,  lecture, 3 hours, research, 3 hours, prerequisite(s): anth 005 with a grade of ""c-"" or better.  review of methods used by archaeologists in field and laboratory contexts. critically explores the applications of different techniques to answer social questions."
ANTH177,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s):  restricted to class level standing of junior, or  senior;  or consent of instructor. an overview of gendered performance genres from a number of cultures. explores gender-specific music and notions of gender that are often constructed, maintained, transmitted, and transformed through music and performance.     cross-listed with gsst 126, and mus 126."
ANTH180,"4 units, seminar, 3 hours; research, 3 hours. prerequisite(s): anth 001 or anth 001h or anth 001w or anth 005;  or consent of instructor. introduces theoretical and methodological debates in the anthropological study of material culture. compares archaeological and sociocultural approaches to understanding the significance of matter and materiality across time and space. covers the relationships between people and things, and the role of objects in social, economic, religious, and political life."
ANTH189,"4 units, lecture, 3 hours; extra reading, 1 hour; written work, 2 hours.  prerequisite(s): upper-division standing or consent of instructor. examines the dynamics of gender relations within the context of the muslim world. analyzes processes of power which influence concepts of femininity, masculinity, the body, and sexuality. explores heterogeneity of the muslim world as well as its unifying cultural and social history. cross-listed with gsst 168."
ANTH190,"1 to 5 units, variable hours. prerequisite(s): consent of instructor. independent study and research by qualified undergraduate students under supervision of a particular faculty member. with consent of instructor, may be repeated without duplication of credit."
ANTH198I,"1 to 12 units, field research, 1 hour to 16 hours. prerequisite(s): consent of instructor. systematic participation by an individual in studies associated with future career(s) development within the context of an anthropological research project directed by a faculty member. graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 16 units towards graduation."
ANTH200A,"4 units, seminar, 3 hours; research, 3 hours. prerequisite(s): graduate standing in anthropology or consent of instructor. examines the foundational theories of anthropology and how these inform current discussions about human origins, the origins of human society, divergences in different national traditions, including debates and congruencies with other disciplines."
ANTH202,"4 units, seminar, 3 hours; written work, 2 hours; term paper, 1 hour. prerequisite(s): graduate standing or consent of instructor. an introduction to the world of southeast asia and the scholarly discussions about it, with an emphasis on cultural aspects, embedded in their historical context.  materials are in english. course is repeatable as content changes to a maximum of 12 units. cross-listed with cplt 200 and seas 200."
ANTH252,"4 units, seminar, 3 hours; research, 3 hours. prerequisite(s): graduate standing or consent of instructor. studies in culture history and in the data and methods of archaeological research. course is repeatable."
ANTH253,"4 units, seminar, 3 hours, research 3 hours. prerequisite(s): graduate standing or consent of instructor. selected topics in the analysis of human variation and evolution, the structure of human populations, and the biocultural environments of humans. course is repeatable."
ANTH260,"4 units, seminar, 3 hours; field, 3 hours. prerequisite(s): graduate standing or consent of instructor. introduces ethnographic field methodologies and research techniques through theoretical and practical application. examines historical and contemporary models of fieldwork practices and ethics. topics include fieldwork preparation; participant observation; ethnographic responsibilities; data collection techniques; interviews; gendered dynamics of field research; historical and visual methods; and violence in the field. course is repeatable."
ANTH277,"4 units, seminar, 3 hours; research, 3 hours. prerequisite(s): graduate standing or consent of instructor. an advanced course focusing on the relationship between political economy and human ecology for the analysis of the interaction between people, natural resources, and the environment."
ANTH291,"1 to 6 units, prerequisite(s): graduate standing. a program of study designed to advise and assist candidates who are preparing for doctoral examination. the following rules apply: 1) a student may take up to 12 units for the basic requirements; 2) a student may take up to 8 units for the comprehensive requirements. graded satisfactory (s) or no credit (nc). course is repeatable."
ANTH292,"1 to 4 units, each anth 292 course will be taken concurrently with some 100-series course, but on an individual basis. it will be devoted to completion of a graduate paper based on research or criticism related to the 100-series course. faculty guidance and evaluation will be provided throughout the quarter. satisfactory (s) or no credit (nc) grading is not available. course is repeatable."
ANTH297,"1 to 6 units, individual research by graduate students directed by a particular faculty member. graded satisfactory (s) or no credit (nc). course is repeatable."
ANTH299,"1 to 12 units, field training and directed research in preparation for and completion of doctoral dissertation. graded satisfactory (s) or no credit (nc). course is repeatable."
ANTH301,"4 units, seminar, 3 hours; research, 3 hours. prerequisite(s): graduate standing; consent of instructor. discusses bibliography and research and teaching techniques used in the instruction of anthropology. covers how to lead discussion sections and relate student experience to anthropological problems. graded satisfactory (s) or no credit (nc). course is repeatable."
ARBC001,"4 units, lecture, 4 hours.  prerequisite(s): student must take the arabic placement examination.  an introduction to modern standard arabic. focuses on the development of the four language skills: listening, speaking, reading, and writing. also explores aspects of arabic cultures.  classes conducted primarily in arabic."
ART001,"4 units, lecture, 2 hours; studio, 4 hours. introduction to the materials, techniques, structure, and expressive properties of drawing and design. must attend the first day of class for studio orientation and instruction to avoid being dropped from the class."
ART002,"4 units, lecture, 2 hours; studio, 4 hours. introductory course in the media, techniques, structural, and expressive properties of painting and design.  must attend the first day of class for studio orientation and instruction to avoid being dropped from the class."
ART003,"5 units, lecture, 3 hours; studio, 4 hours. introduction to basic principles of photography as fine art. addresses a range of technological approaches to digital image capture and printing. explores historical and contemporary approaches to creating meaningful photographs. must attend the first day of class; see schedule notes for attendance policy."
ART005,"4 units, lecture, 3 hours; studio, 3 hours. an introduction to tools and assembly techniques working with wood, plaster, metal, and found objects. provides an understanding of 3d qualities including volume, surface, and scale as well as an overview of twentieth-century art movements and contemporary sculpture strategies. see schedule notes for attendance policy."
ART010,"4 units, lecture, 3 hours; studio, 3 hours. prerequisite(s): none. introduction to time-based media including video, sound, performance, and installation as studio art practice. builds aesthetic, conceptual, and technical skills for the creation of video and time-based works. addresses work of contemporary artists and issues. emphasizes experimental practical techniques. must attend the first day; see schedule notes for attendance policy."
ART032,"4 units, lecture, 3 hours; studio, 3 hours. prerequisite(s):  restricted to major(s) art (studio). introduces art majors to the importance of interdisciplinary work. includes independent projects, critical analysis in a group critique situation, exhibition preparation, and considerations of presentation of their work through written and spoken language. prepares art majors for upper division coursework."
ART123,"4 units, seminar, 3 hours; individual study, 3 hours. prerequisite(s): art 001 or art 002 or art 003 or art 005 or art 010;  restricted to class level standing of junior, or  senior;  restricted to major(s) art (studio). introduces philosophical, theoretical, scientific histories related to the understanding and development (use) of color in aesthetic production alongside material history of chemical industry in the 19th and 20th centuries. addresses recent discoveries of color and technology. focuses on color as material and perception. explores fluidity in meaning, production, and experience."
ART132,"4 units, lecture, 3 hours; studio, 3 hours. prerequisite(s): art 006/mcs 006, art 032, upper-division standing in art; or consent of instructor. prepares junior art majors for their senior course work. emphasizes interdisciplinary work, independent projects, critical analysis in a group critique situation, exhibition preparation, and writing a preliminary artist statement. letter grade only."
ART151,"4 units, lecture, 3 hours; studio, 3 hours. prerequisite(s): art 010;  restricted to class level standing of sophomore, junior, or  senior;  or consent of instructor. develops conceptual methods and experimental practical techniques for making video and time-based artworks through assignments and self-directed projects. includes support of production through critique, discussion, and exposure to contemporary artists and theorists. explores time-based media's expanding critical role in contemporary art and society.   course is repeatable to a maximum of 8 units."
ART285,"4 units, seminar, 3 hours, research, 3 hours. prerequisite(s): graduate standing or consent of instructor. provides a serious and sophisticated environment for peer critique of studio production.  involves readings, screenings, and field trips. course is repeatable."
AHS025,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): none. surveys the art and architecture of mesoamerica from the olmec to the fall of the aztec capital in 1521. focuses on empire and trade, religion and astronomy, writing systems and the history the book, and cross-cultural interaction through emphasizing the close analysis of artworks and historical texts."
AHS175,"4 units, lecture, 3 hours; individual study, 3 hours. prerequisite(s):  restricted to class level standing of sophomore, junior, or  senior;  or consent of instructor. a study of american art from 1848 to 1900. focuses on social, political, and artistic issues related to industrialization. explores themes in visual culture; the construction of an american identity;  the role of fine arts in american society; and the tensions of class, gender, race, and ethnicity in american art."
AHS180,"4 units, lecture, 3 hours; individual study, 3 hours. prerequisite(s):  restricted to class level standing of sophomore, junior, or  senior. surveys painting and sculpture in europe from the french revolution to the franco-prussian war. introduces the ideas and concepts of modern european art. traces artistic developments from neoclassicism to the emergence of impressionism in a broad cultural, social, and political context."
AHS251A,"4 units, seminar, 3 hours; research, 3 hours. prerequisite(s): graduate standing or consent of instructor. an introduction to the history of the discipline of art history. covers historiographic traditions from antiquity to the present. includes instruction in preparing a conference paper as an element of professional training."
AHS260,"4 units, seminar, 3 hours; research, 2 hours; term paper, 1 hour. prerequisite(s): graduate standing or consent of instructor. selected topics in the history and theory of latin american art from the european conquest to the present. course is repeatable."
AHS280,"4 units, seminar, 3 hours, research 3 hours. prerequisite(s): graduate standing or consent of instructor. covers advanced research that helps in conceptualizing a thesis topic, organizing and structuring material, and in writing one chapter of the thesis. examines research in different fields of the history of art. explores scholarly issues from a diversity of specializations. course is repeatable."
AHS292,"1 to 4 units, research, 3 hours to 12 hours. prerequisite(s): graduate standing and consent of instructor. to be taken concurrently with a 100-series course, but on an individual basis. it will be devoted to research, criticism, and written work of graduate order commensurate with the number of units elected. graded satisfactory (s) or no credit (nc). may be repeated for credit."
AST022,"4 units, lecture, 3 hours; discussion, 1 hour; screening, 2 hours. an introduction to major genres, styles, and creators in the japanese film world. focuses on formal analysis and critical writing about film. works studied range from the samurai epics of kurosawa to recent anime. all films have subtitles. no previous knowledge of japanese language or culture required.     cross-listed with jpn 022, and mcs 022."
AST047,"4 units, lecture, 3 hours; screening, 2 hours; discussion, 1 hour. an introduction to the major directors and films of korea. covers the genres and periods of works produced from the 1960s to the present. all films have english subtitles. no previous knowledge of korean language or culture required.     cross-listed with kor 047, and mcs 047."
AST063,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s): none. an introduction to the modern short story in southeast asia with a focus on literariness and the act of reading. readings are in translation; classes conducted in english. course is repeatable as content changes to a maximum of 8 units. cross-listed with cplt 063, and seas 063."
AST112,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s): upper-division standing or consent of instructor. a study of modern korean literature from the colonial era to the present. topics include colonialism; cultural influence and exchange; gender, family and sexuality; nation and nationalism; confucian tradition and patriarchal culture; and modernization and capitalism. cross-listed with kor 112."
AST136,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s): upper-division standing or consent of instructor. examines a broad array of short stories from the tang to the qing dynasties (approximately ninth to eighteenth century). investigates love, marriage, family, gender dynamics, and the representation of women in chinese literature. no knowledge of chinese required. cross-listed with chn 136."
AST137,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s):  restricted to class level standing of junior, or  senior;  or consent of instructor. an introduction to important works of fiction, drama, poetry, and reportage from the mid-twentieth century to the present. includes readings from mainland china, as well as writings from taiwan and other overseas communities.     cross-listed with chn 137.  credit is awarded for one of the following  chn 137,  ast 137, or chn 110e."
AST168,"2 units,  studio, 6 hours. prerequisite(s): upper-division standing and consent of instructor. study and performance of the central javanese gamelan, consisting mainly of gongs and gong-chime instruments. readings and discussions focus on javanese culture. course is repeatable. cross-listed with mus 168 and seas 168."
AST169,"1 unit, studio, 2 hours. prerequisite(s): upper-division standing or consent of instructor study and performance of japanese drumming. normally graded satisfactory (s) or no credit (nc), but students may petition the instructor for a letter grade on the basis of assigned extra work or examination. course is repeatable.. cross-listed with mus 169."
AST170,"1 to 2 units, studio, 2 to 4 hours. prerequisite(s): upper-division standing or consent of instructor. study and performance of the filipino rondalla, an ensemble consisting of various sizes of lure-like and guitar-like instruments. discussions focus on filipino culture. cross-listed with mus 170 and seas 170. course is repeatable."
BSWT001,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s): an appropriate score on the university of california analytical writing placement examination; concurrent enrollment in bswt 002 an intensive introduction to oral communication in the academic setting, focusing on academic conversation, dialogue, discussion, group-work, and presentations.  emphasizes active listening and speaking.  designed for students who need immersive instruction in english as a second language before going on to basic writing 3 (bswt 003). graded satisfactory (s) or no credit (nc)."
BSWT003,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s): an appropriate score on the university of california analytical writing placement exam or a satisfactory (s) grade in bswt 001; concurrent enrollment in bswt 003d or bswt 003l and bswt 004. an introductory course designed for students who need instruction in english as a second language.  helps to develop writing proficiency by means of regular written assignments and intensive individual interaction between student and instructor. students who pass the course with a grade of ""s"" should enroll in engl 004. students should be formally enrolled prior to the beginning of instruction and should attend the first meeting to avoid being dropped from the class. graded satisfactory (s) or no credit (nc)."
BCH010,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): none. introduction to the biological basis of human nutrition in the context of plant-animal-microorganism cycles and the characteristics of different food classes. the effects of nutritional needs, food availability, and the expanding human population are discussed. students record and evaluate their own diet."
BCH095,"1 unit, seminar, 1 hour. prerequisite(s): lower-division standing in biochemistry. topics include analysis of academic aspects of career goals and options; curriculum planning; undergraduate research opportunities; preparation for postgraduate education; laboratory experiences and evaluation of data; ethics in education and research; research problems in contemporary biochemistry; and modern experimental approaches in biochemistry. graded satisfactory (s) or no credit (nc). credit is awarded for only one of bch 095, nasc 091, or nasc 093."
BCH098I,"1 unit, internship, 3 hours; term paper, 10 hours per quarter. prerequisite(s): bch 096;  restricted to major(s) biochemistry;  with an emphasis in medical sciences;  permission by department. real-world experience is gained by providing community service in a humanitarian or healthcare arena. requires a  written report.  graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 2 units."
BCH100,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): biol 005a with a grade of c- or better; chem 08hb with a grade of c- or better or chem 008b with a grade of c- or better; chem 08lb with a grade of c- or better or chem 08hlb with a grade of c- or better. introduction to the biochemistry of living organisms based on a study of the structure, function, and metabolism of small molecules and macromolecules of biological significance. examines selected animals, plants, and microorganisms to develop a general understanding of structure-function relationships, enzyme action, regulation, bioenergetics, and intermediary metabolism. credit is awarded for one of the following bch 100 or bch 100h. credit is not awarded for bch 100 if a grade of ""c-"" or higher has been awarded previously in bch 110a or bch 110ha or bch 110b or bch 110hb or bch 110c or bch 110hc."
BCH100H,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): biol 005a with a grade of c- or better; chem 008b with a grade of c- or better or chem 08hb with a grade of c- or better; chem 08lb with a grade of c- or better or chem 08hlb with a grade of c- or better; admission to university honors. honors course corresponding to bch 100. introduction to the biochemistry of living organisms based on a study of the structure, function, and metabolism of small molecules and macromolecules of biological significance. examines selected animals, plants, and microorganisms to develop a general understanding of structure-function relationships, enzyme action, regulation, bioenergetics, and intermediary metabolism. credit is awarded for one of the following bch 100h or bch 100. credit is not awarded for bch 100h if a grade of c- or higher has been awarded previously in bch 110a or bch 110ha, bch 110b or bch 110hb, or bch 110c or bch 110hc."
BCH120,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): bch 100 with a grade of ""c+"" or better or bch 110b or bch 110hb with a grade of ""c-"" or better or consent of instructor. lectures on biochemical and molecular aspects of modern endocrinology, nutrition, metabolic diseases, and blood chemistry. emphasis is on relation of the above topics to medicine. the discussion sections are used for presentations on topical medical problems."
BCH180E,"2 units, lecture, 1 hour; seminar, 1 hour. prerequisite(s): bch 197, may be taken concurrently or bch 110c or bch 110hc or biol 107a with a grade of c- or better;  restricted to class level standing of junior, or  senior;  or consent of instructor. an introduction and discussion of the experimental approaches and modern techniques in the study of cell growth regulation, signal transduction, and cell death in cancer. e.   gene regulation;  f.   chromatin research;  g.   cell signaling;  i.   structural biology;  j.   biophysical chemistry;  k.   cryoelectron microscopy;  m.   biological structure/function;  n.   genome stability;  o.   genomics and proteomics;  p.   regulation of protein synthesis;  q.   stem cell biology;  r.   epigenetics;  s.   molecular biology of genetic diseases;  t.   biochemistry of development and aging;  u.   biochemistry of stress responses.   course is repeatable as content or topic changes to a maximum of 6 units."
BCH185,"4 units, lecture, 3 hours; discussion, 1 hour; extra reading, 2 hours. prerequisite(s): bch 110c with a grade of c- or better or bch 110hc with a grade of c- or better or biol 107a with a grade of c- or better; or equivalents. examines epigenetic regulation of gene expression in mammalian development and human disease. covers the roles of epigenetic mechanisms in normal homeostasis including mammalian embryogenesis, memory formation, and transgenerational inheritance.  addresses aberrant epigenetic control in major human disorders including cancer, neurological disorders, and systemic disease.  explores epigenetics in regenerative medicine."
BCH197,"1 to 4 units, prerequisite(s): junior status and consent of the instructor. directed research and preparation of written report. course is repeatable."
