courseNumber,courseReferenceNumber,courseTitle,subjectDescription,description
ARC072,10304,CHEM SPLMNTL INST - CNAS,Academic Resource Center,for college use only
ARC073,24324,MATH SPLMNTL INST - CNAS,Academic Resource Center,for college use only
ARC078,36475,BIOL SPLMNTL INST - CNAS,Academic Resource Center,for college use only
ARC080,10358,COE: LEARNING CENTER WORKSHOP,Academic Resource Center,for college use only
BUAS101,36208,FUNDAMENTALS OF INSURANCE,Actuarial Sciences,"4 units, lecture, 3 hours; written work, 3 hours. prerequisite(s): bus 106 or econ 134 or bus 133. introduces the insurance industry and the pricing of actuarial risks. topics include asymmetric information, adverse selection, and moral hazard as they apply to life insurance and property and casualty policies, state regulations, and models for regulatory capital and reinsurance."
ANTH001,10107,CULTURAL ANTHROPOLOGY,Anthropology,"4 units, lecture, 3 hours; discussion, 1 hour. explores the basic contributions of anthropology to the understanding of human behavior and culture and the explanation of similarities and differences among human societies. addresses the relevance of materials drawn from tribal and peasant culture to problems of the modern world. stresses the application of anthropological methods to research problems.     credit is awarded for one of the following  anth 001,  anth 001h, or anth 001w."
ANTH002,10129,BIOLOGICAL ANTHROPOLOGY,Anthropology,"5 units, lecture, 3 hours; discussion, 1 hour; individual study, 3 hours. a survey of past and contemporary human variation and evolution considered from the perspective of the fossil record, inferences from nonhuman primate biology and social behavior, and the forces of evolution."
ANTH005,26261,INTRODUCTION TO ARCHAEOLOGY,Anthropology,"5 units, lecture, 3 hours; discussion, 1 hour; individual study, 3 hours. a general introduction to the aims and methods of archaeology, in the field and in the laboratory. briefly surveys world prehistory as revealed by these methods."
ANTH006,34150,INTRODUCTION TO WORLD MUSIC,Anthropology,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): none. a survey of people, identity, and music making. includes listening to music from many cultural contexts. also covers a variety of scholarly topics in world music.     cross-listed with mus 006."
ANTH020S,31012,"CULTURE, HEALTH AND HEALING",Anthropology,"4 units, lecture, 3 hours; discussion, 1 hour. surveys health, disease, curing, and nutrition in a cross-cultural perspective. covers how different cultural groups consider disease, health maintenance, and healing; how traditional beliefs about health and nutrition arise; and what one can and cannot learn from traditional health-seeking practices.     credit is awarded for one of the following  anth 020s or anth 020."
ANTH100,34376,HISTORY OF ANTHROPOLOGICAL THEORY,Anthropology,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s): anth 001 or anth 001h or anth 001w;  or consent of instructor. a survey of the history of theory in anthropology and the development of the discipline. focuses on useful ideas from these theories and methods anthropologists have developed to study other societies.     credit is awarded for one of the following  anth 100 or anth 100w."
ANTH104,38091,BIOARCHAEOLOGY,Anthropology,"4 units, lecture, 2 hours; practicum, 3 hours; research, 3 hours. prerequisite(s): anth 002 with a grade of ""c-"" or better. introduces the study of bioarchaeology in order to explore human skeletal remains from archaeological settings. topics include the history and ethics of studying human remains, mortuary archaeology, methodological shifts in skeletal research, and interpretation of human skeletons using various methods."
ANTH115R,37792,ARCHAEOLOGY OF EASTERN MESOAMERICA,Anthropology,"4 units, lecture, 3 hours; research, 3 hours. prerequisite(s): anth 003 or anth 005 or consent of instructor. an introduction to mayan archaeology intended to provide an overview of ancient maya cultural history from the formative period to the time of spanish contact. during the course, particular maya sites will be described in detail."
ANTH127S,38352,POLITICAL ANTHROPOLOGY,Anthropology,"4 units, lecture, 3 hours; discussion, 1 hour; extra reading, 3 hours. prerequisite(s): anth 001 or anth 001h or anth 001w or consent of instructor. examines different overt and covert means by which power and social differentiation are produced, perpetuated, and challenged in societies across the world. studies the politics of culture, ethnicity, nationalism, and gender. credit is awarded for only one of anth 127 or anth 127s."
ANTH132,36366,CULTURAL ECOLOGY,Anthropology,"4 units, lecture, 3 hours; research, 3 hours. prerequisite(s): anth 001 or anth 001h or anth 001w or consent of instructor. introduces people's relationships to their total environment. explores strategies for managing the environment and its resources, the effects of the environment on culture and society, the impact of human management on the ecosystem, and ways in which human groups view their surroundings."
ANTH140G,36368,ANTHROPLGCL PERSPCTVS IN AFRIC,Anthropology,"4 units, lecture, 3 hours; research, 3 hours. prerequisite(s):  restricted to class level standing of junior, or  senior. examines a number of african cultures using anthropological perspectives on subsistence patterns, social organization, and religious systems. addresses the treatment of these cultures following a brief overview of the geography, history, and linguistic patterns of africa."
ANTH144F,36156,"GENDER, RACE, AND MEDICINE",Anthropology,"4 units, lecture, 3 hours; written work, 1 hour; extra reading, 1 hour; individual study, 1 hour. prerequisite(s):  restricted to class level standing of junior, or  senior;  or consent of instructor. explores the relationship between western medicine and women, racial minorities, and non-western citizens. investigates how gender ideology, racial inequity, and colonialism shape the medical representation of bodies, sexuality, and pathology. examines how patients have renegotiated their relationships with medicine through health movements and alternative healing practices.     cross-listed with gsst 185."
ANTH155,32319,HUMAN OSTEOLOGY,Anthropology,"6 units, lecture, 2 hours; discussion, 1 hour; laboratory, 6 hours, research, 3 hours. prerequisite(s): anth 002, upper-division standing; or consent of instructor. an in-depth study of the human skeleton, including bone biology, functional morphology, fragment identification, reconstruction, forensic methods, and curation techniques. useful for anthropologists and those intending careers in medicine, physical therapy, and forensics."
ANTH165E,37793,METHODS IN ARCHAEOLOGY,Anthropology,"4 units,  lecture, 3 hours, research, 3 hours, prerequisite(s): anth 005 with a grade of ""c-"" or better.  review of methods used by archaeologists in field and laboratory contexts. critically explores the applications of different techniques to answer social questions."
ANTH177,38462,"GENDER, SEXUALITY, AND MUSIC IN CROSS-CULTURAL PERSPECTIVES",Anthropology,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s):  restricted to class level standing of junior, or  senior;  or consent of instructor. an overview of gendered performance genres from a number of cultures. explores gender-specific music and notions of gender that are often constructed, maintained, transmitted, and transformed through music and performance.     cross-listed with gsst 126, and mus 126."
ANTH180,38093,MATERIAL CULTURE,Anthropology,"4 units, seminar, 3 hours; research, 3 hours. prerequisite(s): anth 001 or anth 001h or anth 001w or anth 005;  or consent of instructor. introduces theoretical and methodological debates in the anthropological study of material culture. compares archaeological and sociocultural approaches to understanding the significance of matter and materiality across time and space. covers the relationships between people and things, and the role of objects in social, economic, religious, and political life."
ANTH189,37340,GENDER AND POWER IN MUSLIM SOCIETIES,Anthropology,"4 units, lecture, 3 hours; extra reading, 1 hour; written work, 2 hours.  prerequisite(s): upper-division standing or consent of instructor. examines the dynamics of gender relations within the context of the muslim world. analyzes processes of power which influence concepts of femininity, masculinity, the body, and sexuality. explores heterogeneity of the muslim world as well as its unifying cultural and social history. cross-listed with gsst 168."
ANTH190,10171,SPECIAL STUDIES,Anthropology,"1 to 5 units, variable hours. prerequisite(s): consent of instructor. independent study and research by qualified undergraduate students under supervision of a particular faculty member. with consent of instructor, may be repeated without duplication of credit."
ANTH195A,22265,SENIOR THESIS,Anthropology,"4 units, optional for anthropology majors; open to senior students having a ""b"" average in their major, with consent of instructor. graded in progress (ip) until anth 195a, anth 195b, and anth 195c are completed, at which time a final grade is assigned."
ANTH198I,10184,INTERNSHIP IN ANTHROPOLOGY,Anthropology,"1 to 12 units, field research, 1 hour to 16 hours. prerequisite(s): consent of instructor. systematic participation by an individual in studies associated with future career(s) development within the context of an anthropological research project directed by a faculty member. graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 16 units towards graduation."
ANTH200A,10188,CORE THEORY IN ANTHROPOLOGY,Anthropology,"4 units, seminar, 3 hours; research, 3 hours. prerequisite(s): graduate standing in anthropology or consent of instructor. examines the foundational theories of anthropology and how these inform current discussions about human origins, the origins of human society, divergences in different national traditions, including debates and congruencies with other disciplines."
ANTH202,36664,RES THEORY AND APPLICATION,Anthropology,"4 units, seminar, 3 hours; written work, 2 hours; term paper, 1 hour. prerequisite(s): graduate standing or consent of instructor. an introduction to the world of southeast asia and the scholarly discussions about it, with an emphasis on cultural aspects, embedded in their historical context.  materials are in english. course is repeatable as content changes to a maximum of 12 units. cross-listed with cplt 200 and seas 200."
ANTH252,34855,SEMINAR IN ARCHAEOLOGY,Anthropology,"4 units, seminar, 3 hours; research, 3 hours. prerequisite(s): graduate standing or consent of instructor. studies in culture history and in the data and methods of archaeological research. course is repeatable."
ANTH253,36369,SEMINAR IN PHYSICAL ANTHROPOLOGY,Anthropology,"4 units, seminar, 3 hours, research 3 hours. prerequisite(s): graduate standing or consent of instructor. selected topics in the analysis of human variation and evolution, the structure of human populations, and the biocultural environments of humans. course is repeatable."
ANTH260,36370,ETHNOGRAPHIC FIELD METHODS,Anthropology,"4 units, seminar, 3 hours; field, 3 hours. prerequisite(s): graduate standing or consent of instructor. introduces ethnographic field methodologies and research techniques through theoretical and practical application. examines historical and contemporary models of fieldwork practices and ethics. topics include fieldwork preparation; participant observation; ethnographic responsibilities; data collection techniques; interviews; gendered dynamics of field research; historical and visual methods; and violence in the field. course is repeatable."
ANTH277,38094,SEMINAR IN POLITICAL ECOLOGY,Anthropology,"4 units, seminar, 3 hours; research, 3 hours. prerequisite(s): graduate standing or consent of instructor. an advanced course focusing on the relationship between political economy and human ecology for the analysis of the interaction between people, natural resources, and the environment."
